Company,Country,City,Duration (Mins),Distance (KM),Snow,Tourist_volume_of_cable_car,Cable car Price (SGD),Age_range,Is_Nature,Type_of_trip,is_citizen,PPP,normalized_PPP
Maya Ropeway & Cable Car,Japan,Kobe,12,1.8,0,"1,000,000",2,4,0,1,1,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,24,3.6,0,"1,000,000",3.48,4,0,0,1,45583.84697,0.48765482133158344
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",22.11,2,1,0,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",17.08,2,1,1,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",16.08,0,1,0,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",13.06,0,1,1,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",17.08,2,1,0,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",13.06,2,1,1,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",12.06,0,1,0,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",10.05,0,1,1,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",20.11,4,1,0,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",15.08,4,1,1,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",15.08,4,1,0,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",11.06,4,1,1,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",20.11,4,1,0,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",15.08,4,1,1,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",15.08,4,1,0,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",11.06,4,1,1,0,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",18.11,2,1,0,1,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,15,1.62,0,"1,800,000",13.08,2,1,1,1,50330.53816,0.5499068707791632
Busan Air Cruise,South Korea,Busan,30,3.24,0,"1,800,000",12.08,0,1,0,1,50330.53816,0.5499068707791632
